Unnamed: 0,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
11462,Adult Education,Adult Education,7hrs 18min,12th,English/Hindi,Module 1: Introduction to Adult Education,Learning about Life on a Danish Folk High School,https://www.youtube.com/watch?v=HD69sdBJwEU
11463,Adult Education,Adult Education,,12th,English/Hindi,Module 1: Introduction to Adult Education,Andragogy (Adult Learning),https://www.youtube.com/watch?v=vLoPiHUZbEw
11464,Adult Education,Adult Education,,12th,English/Hindi,Module 1: Introduction to Adult Education,Andragogy (Adult Learning),https://www.youtube.com/watch?v=vLoPiHUZbEw
11465,Adult Education,Adult Education,,12th,English/Hindi,Module 1: Introduction to Adult Education,Welcome to Tri-Community Adult Education,https://www.youtube.com/watch?v=ebWpDtMSFZQ
11466,Adult Education,Adult Education,,12th,English/Hindi,Module 2: Andragogy and Adult Learning Principles,"Paulo Freire Documentary Seeing Through Paulo's Glasses: Political Clarity, Courage and Humility",https://www.youtube.com/watch?v=U4jPZe-cZgc
11467,Adult Education,Adult Education,,12th,English/Hindi,Module 2: Andragogy and Adult Learning Principles,"Cultural Humility in Community Based Participatory Research & Education, Part 3 of 4",https://www.youtube.com/watch?v=9cEXqNDOHqM
11468,Adult Education,Adult Education,,12th,English/Hindi,Module 2: Andragogy and Adult Learning Principles,Alma Flor Ada and Paulo Freire : Participatory Research,https://www.youtube.com/watch?v=PemcNyIgxFs
11469,Adult Education,Adult Education,,12th,English/Hindi,Module 3: Paulo Freire and Transformative Learning,Kenneth Wilber - Compassion in a Box,https://www.youtube.com/watch?v=tALk_wCAhNY
11470,Adult Education,Adult Education,,12th,English/Hindi,Module 3: Paulo Freire and Transformative Learning,Adult Education,https://www.youtube.com/watch?v=V4Lc35FyiSQ
11471,Adult Education,Adult Education,,12th,English/Hindi,Module 3: Paulo Freire and Transformative Learning,"01. ""Renewed Purpose"", Perth City Farm",https://www.youtube.com/watch?v=Vkj_N2gzRI8
11472,Adult Education,Adult Education,,12th,English/Hindi,Module 4: Community-Based Participatory Research & Education,Learning about Life on a Danish Folk High School,https://www.youtube.com/watch?v=HD69sdBJwEU
11473,Adult Education,Adult Education,,12th,English/Hindi,Module 4: Community-Based Participatory Research & Education,Charles Jennings - The Four Ways Adults Learn : Learning Technologies 2013,https://www.youtube.com/watch?v=Y0ItF1s9O9Y
11474,Adult Education,Adult Education,,12th,English/Hindi,Module 4: Community-Based Participatory Research & Education,"Folk High Schools, Adult Education, and the Philosophy of Nikolaj Grundtvig",https://www.youtube.com/watch?v=cy2f4RnStlg
11475,Adult Education,Adult Education,,12th,English/Hindi,Module 5: Folk High Schools and Alternative Education Models,"Promoting Equality, Diversity and Inclusion in Adult Education",https://www.youtube.com/watch?v=wVrpe6AX-aE
11476,Adult Education,Adult Education,,12th,English/Hindi,Module 5: Folk High Schools and Alternative Education Models,Lifelong Learning at Aberystwyth University,https://www.youtube.com/watch?v=1NJlDrh40nQ
11477,Adult Education,Adult Education,,12th,English/Hindi,Module 5: Folk High Schools and Alternative Education Models,Continuing Education & Lifelong Learning,https://www.youtube.com/watch?v=4ViKNVPe8CA
11478,Adult Education,Adult Education,,12th,English/Hindi,Module 6: Lifelong Learning and Continuing Education,Transformative Pedagogy,https://www.youtube.com/watch?v=B2KRB-wxDjI
11479,Adult Education,Adult Education,,12th,English/Hindi,Module 6: Lifelong Learning and Continuing Education,Paulo Freire - An Incredible Conversation,https://www.youtube.com/watch?v=aFWjnkFypFA
11480,Adult Education,Adult Education,,12th,English/Hindi,Module 6: Lifelong Learning and Continuing Education,Fun Activities: Fun Learning Activities for Adults,https://www.youtube.com/watch?v=99YO5gO4Wx4
11481,Adult Education,Adult Education,,12th,English/Hindi,Module 7: Motivation and Self-Directed Learning,The revolution of self-directed learning | Sean Bengry | TEDxFlourCity,https://www.youtube.com/watch?v=3L9qU7Y-oaA
11482,Adult Education,Adult Education,,12th,English/Hindi,Module 7: Motivation and Self-Directed Learning,Key & Peele | Substitute Teacher Mr Garvy,https://www.youtube.com/watch?v=zRpsRKuyi3Y
11483,Adult Education,Adult Education,,12th,English/Hindi,Module 7: Motivation and Self-Directed Learning,The puzzle of motivation | Dan Pink | TED,https://www.youtube.com/watch?v=rrkrvAUbU9Y
11484,Adult Education,Adult Education,,12th,English/Hindi,Module 8: Practical Skills for Adult Learners,Pecha Kucha: Narrative in Adult Learning,https://www.youtube.com/watch?v=TqudW7gmfsI
11485,Adult Education,Adult Education,,12th,English/Hindi,Module 8: Practical Skills for Adult Learners,How to Write a Paper in a Weekend (By Prof. Pete Carr),https://www.youtube.com/watch?v=UY7sVKJPTMA
11486,Adult Education,Adult Education,,12th,English/Hindi,Module 8: Practical Skills for Adult Learners,Robert Waldinger: What makes a good life? Lessons from the longest study on happiness | TED,https://www.youtube.com/watch?v=8KkKuTCFvzI
11487,Adult Education,Adult Education,,12th,English/Hindi,Module 9: Exploring Happiness and Well-being,Saving Lake Isle.,https://www.youtube.com/watch?v=MoUV_yBvyc4
11488,Adult Education,Adult Education,,12th,English/Hindi,Module 9: Exploring Happiness and Well-being,Question Time in Liverpool - Disillusionment with Politics 24/10/2013,https://www.youtube.com/watch?v=tD-88YedtZ4
11489,Adult Education,Adult Education,,12th,English/Hindi,Module 9: Exploring Happiness and Well-being,Chang knows Powerpoint (Community).,https://www.youtube.com/watch?v=Bq1kMahLzuU
11490,Adult Education,Adult Education,,12th,English/Hindi,Module 10: Case Studies in Adult Education,Sigur Ros - Live Lisbon FULL SHOW 4K,https://www.youtube.com/watch?v=AR_HpOSsBm8
